index,微信,微博,抖音,销售额
115,77.1,38.0,54.7,14.6
116,140.2,19.3,27.6,14.2
117,77.4,3.8,18.8,14.4
118,128.7,40.9,84.2,17.9
119,24.4,18.0,25.3,11.6
120,142.3,31.8,51.2,16.5
121,22.8,23.7,53.4,9.0
122,227.0,7.4,18.6,13.6
123,124.1,37.6,15.4,20.2
124,234.5,33.3,77.2,21.7
125,92.2,16.8,27.9,12.6
126,12.8,41.9,55.6,8.6
127,85.2,1.0,11.2,9.8
128,222.3,52.0,7.2,26.7
129,60.6,15.0,48.1,14.7
130,3.7,41.6,9.7,4.6
131,270.2,3.9,46.0,16.7
132,12.4,28.2,5.1,9.7
133,223.8,35.5,49.1,22.6
134,39.9,43.6,69.6,11.8
135,50.3,50.0,10.5,16.6
136,30.6,41.0,12.3,13.5
137,276.7,31.9,63.7,23.8
138,45.0,29.9,21.5,14.6
139,186.9,47.9,6.7,25.7
140,76.4,19.0,17.9,15.9
141,198.7,36.4,76.6,22.2
142,222.5,34.2,38.9,21.1
143,107.6,10.7,35.4,13.4
144,101.2,18.8,43.9,16.4
145,143.3,3.9,13.0,15.3
146,241.1,8.3,11.7,18.2
147,247.2,50.0,45.3,27.4
148,43.0,41.3,12.9,11.9
149,46.7,27.8,25.6,12.1
150,281.7,18.9,41.0,19.1
151,125.0,11.4,52.7,14.6
152,199.6,27.3,18.2,17.6
153,175.3,43.7,38.7,20.0
154,192.8,26.1,11.5,16.6
155,5.1,15.6,10.7,8.2
156,96.9,47.5,54.5,20.3
157,151.8,2.3,29.3,12.1
158,12.7,40.9,48.2,9.3
159,132.7,22.4,39.6,14.9
160,173.5,21.1,32.7,16.4
161,87.7,37.8,50.3,14.3
162,192.4,22.1,29.6,16.9
163,164.5,37.8,12.4,21.0
164,118.2,17.7,10.4,13.9
165,239.5,7.4,85.8,13.9
166,20.9,39.6,26.6,10.0
167,209.8,9.2,23.4,16.2
168,217.4,26.6,60.6,22.1
169,287.3,12.6,8.4,17.0
170,55.0,16.6,21.4,12.4
171,166.5,24.9,48.4,18.5
172,21.6,22.1,19.0,8.6
173,169.4,10.1,16.8,14.7
174,225.4,5.4,17.1,16.5
175,278.9,52.9,43.8,31.0
176,251.4,31.2,24.3,25.2
177,175.2,11.8,37.2,15.7
178,278.7,7.3,27.7,15.8
179,169.6,11.0,22.6,16.6
180,158.6,5.6,13.3,11.5
181,220.5,6.4,30.4,16.2
182,60.2,7.7,33.7,11.7
183,292.6,46.0,73.8,31.2
184,255.8,25.3,33.0,20.6
185,206.0,47.1,20.6,24.6
186,144.5,3.1,27.6,13.3
187,194.1,29.7,23.2,18.3
188,290.0,15.9,8.7,18.9
189,20.7,13.1,27.4,7.7
190,41.5,44.1,6.8,14.8
191,78.5,13.8,8.0,14.9
192,18.2,6.1,34.6,6.9
193,169.8,47.0,8.6,23.6
194,154.7,39.6,9.0,22.3
195,40.2,5.7,15.8,9.6
196,96.2,7.9,9.1,12.7
197,182.0,10.3,11.4,15.8
198,284.6,45.0,67.2,28.5
199,236.1,10.6,10.7,17.4
